Combined_Key,Last_Update,Confirmed,Deaths
Afghanistan,2022-04-21 04:20:46,178574,7680
Albania,2022-04-21 04:20:46,274606,3496
Algeria,2022-04-21 04:20:46,265746,6874
Andorra,2022-04-21 04:20:46,41013,153
Angola,2022-04-21 04:20:46,99287,1900
Antarctica,2022-04-21 04:20:46,11,0
Antigua and Barbuda,2022-04-21 04:20:46,7567,135
Argentina,2022-04-21 04:20:46,9060923,128344
Armenia,2022-04-21 04:20:46,422799,8622
"Australian Capital Territory, Australia",2022-04-21 04:20:46,96854,48
"New South Wales, Australia",2022-04-21 04:20:46,2172295,2655
"Northern Territory, Australia",2022-04-21 04:20:46,58703,37
"Queensland, Australia",2022-04-21 04:20:46,937536,823
"South Australia, Australia",2022-04-21 04:20:46,369418,306
"Tasmania, Australia",2022-04-21 04:20:46,125906,44
"Victoria, Australia",2022-04-21 04:20:46,1482004,2871
"Western Australia, Australia",2022-04-21 04:20:46,320777,107
Austria,2022-04-21 04:20:46,4072410,16470
Azerbaijan,2022-04-21 04:20:46,792412,9706
Bahamas,2022-04-21 04:20:46,33421,789
Bahrain,2022-04-21 04:20:46,564617,1474
Bangladesh,2022-04-21 04:20:46,1952440,29127
Barbados,2022-04-21 04:20:46,65770,386
Belarus,2022-04-21 04:20:46,975566,6914
"Antwerp, Belgium",2022-04-21 04:20:46,638410,0
"Brussels, Belgium",2022-04-21 04:20:46,438787,0
"East Flanders, Belgium",2022-04-21 04:20:46,530529,0
"Flemish Brabant, Belgium",2022-04-21 04:20:46,382910,0
"Hainaut, Belgium",2022-04-21 04:20:46,442836,0
"Liege, Belgium",2022-04-21 04:20:46,365989,0
"Limburg, Belgium",2022-04-21 04:20:46,297159,0
"Luxembourg, Belgium",2022-04-21 04:20:46,104001,0
"Namur, Belgium",2022-04-21 04:20:46,172361,0
"Unknown, Belgium",2022-04-21 04:20:46,56821,31262
"Walloon Brabant, Belgium",2022-04-21 04:20:46,146154,0
"West Flanders, Belgium",2022-04-21 04:20:46,422765,0
Belize,2022-04-21 04:20:46,57394,676
Benin,2022-04-21 04:20:46,26952,163
Bhutan,2022-04-21 04:20:46,55606,19
Bolivia,2022-04-21 04:20:46,904126,21905
Bosnia and Herzegovina,2022-04-21 04:20:46,376567,15753
